AddressID,HouseNumber,StreetName,City,State,Zip
1,584,RoyalLane,Dallas,TX,75266
2,810,FallCreek,Austin,TX,75827
3,364,Airportblvd,Houston,TX,75699
4,798,LoversLane,Austin,TX,75419
5,198,JFKDr,Houston,TX,75876
6,658,FallCreek,Dallas,TX,75402
7,494,RoyalLane,Houston,TX,75841
8,117,LoversLane,Austin,TX,75680
9,363,RoyalLane,Dallas,TX,75595
10,192,LoversLane,Austin,TX,75623
11,223,RoyalLane,Dallas,TX,75832
12,888,FallCreek,Austin,TX,75472
13,150,FallCreek,Houston,TX,75799
14,413,FallCreek,Dallas,TX,75103
15,658,Airportblvd,Dallas,TX,75269
16,611,FallCreek,Austin,TX,75609
17,375,RoyalLane,Houston,TX,75706
18,713,LoversLane,Houston,TX,75709
19,567,Airportblvd,Dallas,TX,75601
20,559,JFKDr,Dallas,TX,75530
21,918,RoyalLane,Houston,TX,75801
22,953,RoyalLane,Austin,TX,75535
23,301,LoversLane,Dallas,TX,75403
24,188,RoyalLane,Houston,TX,75804
25,910,FallCreek,Dallas,TX,75259
26,328,Airportblvd,Dallas,TX,75432
27,719,RoyalLane,Houston,TX,75604
28,498,LoversLane,Houston,TX,75879
29,572,LoversLane,Dallas,TX,75180
30,290,RoyalLane,Houston,TX,75658
31,140,JFKDr,Austin,TX,75671
32,734,JFKDr,Austin,TX,75892
33,292,LoversLane,Austin,TX,75553
34,148,LoversLane,Houston,TX,75671
35,429,Airportblvd,Austin,TX,75469
36,834,FallCreek,Dallas,TX,75778
37,991,JFKDr,Dallas,TX,75290
38,708,Airportblvd,Dallas,TX,75262
39,892,LoversLane,Dallas,TX,75310
40,310,RoyalLane,Houston,TX,75240
41,692,FallCreek,Austin,TX,75166
42,190,RoyalLane,Austin,TX,75615
43,886,LoversLane,Houston,TX,75165
44,331,Airportblvd,Houston,TX,75613
45,511,Airportblvd,Houston,TX,75431
46,728,JFKDr,Dallas,TX,75134
47,113,LoversLane,Austin,TX,75170
48,205,FallCreek,Austin,TX,75774
49,568,JFKDr,Houston,TX,75621
50,237,RoyalLane,Austin,TX,75261
51,825,FallCreek,Houston,TX,75849
52,511,FallCreek,Dallas,TX,75672
53,545,Airportblvd,Austin,TX,75782
54,167,RoyalLane,Dallas,TX,75516
55,995,LoversLane,Austin,TX,75581
56,994,JFKDr,Houston,TX,75866
57,429,RoyalLane,Austin,TX,75826
58,344,Airportblvd,Houston,TX,75588
59,690,FallCreek,Austin,TX,75344
60,356,LoversLane,Dallas,TX,75771
61,147,FallCreek,Austin,TX,75631
62,889,RoyalLane,Austin,TX,75449
63,279,FallCreek,Austin,TX,75336
64,776,RoyalLane,Houston,TX,75215
65,278,FallCreek,Dallas,TX,75364
66,341,FallCreek,Dallas,TX,75552
67,899,JFKDr,Dallas,TX,75141
68,106,FallCreek,Houston,TX,75186
69,858,FallCreek,Houston,TX,75327
70,897,FallCreek,Houston,TX,75189
71,599,FallCreek,Houston,TX,75717
72,303,LoversLane,Houston,TX,75690
73,214,RoyalLane,Dallas,TX,75597
74,247,FallCreek,Austin,TX,75833
75,175,FallCreek,Austin,TX,75594
76,383,JFKDr,Austin,TX,75650
77,848,Airportblvd,Houston,TX,75410
78,610,LoversLane,Houston,TX,75215
79,636,Airportblvd,Austin,TX,75445
80,860,Airportblvd,Houston,TX,75735
81,338,JFKDr,Austin,TX,75880
82,104,FallCreek,Houston,TX,75201
83,960,JFKDr,Houston,TX,75382
84,202,JFKDr,Houston,TX,75167
85,455,Airportblvd,Austin,TX,75791
86,714,FallCreek,Dallas,TX,75813
87,814,JFKDr,Austin,TX,75745
88,843,Airportblvd,Dallas,TX,75822
89,939,Airportblvd,Houston,TX,75310
90,220,JFKDr,Austin,TX,75652
91,865,Airportblvd,Austin,TX,75175
92,615,Airportblvd,Dallas,TX,75252
93,580,Airportblvd,Austin,TX,75451
94,954,Airportblvd,Houston,TX,75161
95,788,Airportblvd,Austin,TX,75639
96,222,RoyalLane,Dallas,TX,75420
97,300,LoversLane,Dallas,TX,75802
98,880,FallCreek,Dallas,TX,75354
99,248,Airportblvd,Austin,TX,75743
100,408,LoversLane,Houston,TX,75764
